股號,股名,產業別
8210,勤誠,未知
8213,志超,未知
8215,明基材,未知
8222,寶一,未知
8249,菱光,未知
8261,富鼎,未知
8271,宇瞻,未知
8341,日友,未知
8367,建新國際,未知
8374,羅昇,未知
8404,百和興業-KY,未知
8411,福貞-KY,未知
8422,可寧衛,未知
8429,金麗-KY,未知
8438,昶昕,未知
8442,威宏-KY,未知
8443,阿瘦,未知
8454,富邦媒,未知
8462,柏文,未知
8463,潤泰材,未知
8464,億豐,未知
8466,美吉吉-KY,未知
8467,波力-KY,未知
8473,山林水,未知
8476,台境*,未知
8478,東哥遊艇,未知
8481,政伸,未知
8482,商億-KY,未知
8487,愛爾達-創,未知
8488,吉源-KY,未知
8499,鼎炫-KY,未知
8926,台汽電,未知
8940,新天地,未知
8996,高力,未知
9103,美德醫療-DR,未知
910322,康師傅-DR,未知
9105,泰金寶-DR,未知
910861,神州-DR,未知
9110,越南控-DR,未知
911608,明輝-DR,未知
911622,泰聚亨-DR,未知
911868,同方友友-DR,未知
912000,晨訊科-DR,未知
9136,巨騰-DR,未知
9802,鈺齊-KY,未知
9902,台火,未知
9904,寶成,未知
9905,大華,未知
9906,欣巴巴,未知
9907,統一實,未知
9908,大台北,未知
9910,豐泰,未知
9911,櫻花,未知
9912,偉聯,未知
9914,美利達,未知
9917,中保科,未知
9918,欣天然,未知
9919,康那香,未知
9921,巨大,未知
9924,福興,未知
9925,新保,未知
9926,新海,未知
9927,泰銘,未知
9928,中視,未知
9929,秋雨,未知
9930,中聯資源,未知
9931,欣高,未知
9933,中鼎,未知
9934,成霖,未知
9935,慶豐富,未知
9937,全國,未知
9938,百和,未知
9939,宏全,未知
9940,信義,未知
9941,裕融,未知
9941A,裕融甲特,未知
9942,茂順,未知
9943,好樂迪,未知
9944,新麗,未知
9945,潤泰新,未知
9946,三發地產,未知
9955,佳龍,未知
9958,世紀鋼,未知
