股號,股名,產業別
020032,元大綠能N,未知
020034,元大IC設計N,未知
020036,元大金融配息N,未知
020037,元大金融高股息N,未知
020038,元大ESG配息N,未知
020039,元大加權N,未知
1101,台泥,未知
1101B,台泥乙特,未知
1102,亞泥,未知
1103,嘉泥,未知
1104,環泥,未知
1108,幸福,未知
1109,信大,未知
1110,東泥,未知
1201,味全,未知
1203,味王,未知
1210,大成,未知
1213,大飲,未知
1215,卜蜂,未知
1216,統一,未知
1217,愛之味,未知
1218,泰山,未知
1219,福壽,未知
1220,台榮,未知
1225,福懋油,未知
1227,佳格,未知
1229,聯華,未知
1231,聯華食,未知
1232,大統益,未知
1233,天仁,未知
1234,黑松,未知
1235,興泰,未知
1236,宏亞,未知
1256,鮮活果汁-KY,未知
1301,台塑,未知
1303,南亞,未知
1304,台聚,未知
1305,華夏,未知
1307,三芳,未知
1308,亞聚,未知
1309,台達化,未知
1310,台苯,未知
1312,國喬,未知
1312A,國喬特,未知
1313,聯成,未知
1314,中石化,未知
1315,達新,未知
1316,上曜,未知
1319,東陽,未知
1321,大洋,未知
1323,永裕,未知
1324,地球,未知
1325,恆大,未知
1326,台化,未知
1337,再生-KY,未知
1338,廣華-KY,未知
1339,昭輝,未知
1340,勝悅-KY,未知
1341,富林-KY,未知
1342,八貫,未知
1402,遠東新,未知
1409,新纖,未知
1410,南染,未知
1413,宏洲,未知
1414,東和,未知
1416,廣豐,未知
1417,嘉裕,未知
1418,東華,未知
1419,新紡,未知
1423,利華,未知
1432,大魯閣,未知
1434,福懋,未知
1435,中福,未知
1436,華友聯,未知
1437,勤益控,未知
1438,三地開發,未知
1439,雋揚,未知
1440,南紡,未知
1441,大東,未知
1442,名軒,未知
1443,立益物流,未知
1444,力麗,未知
1445,大宇,未知
1446,宏和,未知
1447,力鵬,未知
1449,佳和,未知
1451,年興,未知
1452,宏益,未知
1453,大將,未知
1454,台富,未知
1455,集盛,未知
1456,怡華,未知
1457,宜進,未知
1459,聯發,未知
1460,宏遠,未知
1463,強盛新,未知
1464,得力,未知
1465,偉全,未知
1466,聚隆,未知
1467,南緯,未知
1468,昶和,未知
1470,大統新創,未知
1471,首利,未知
1472,三洋實業,未知
1473,台南,未知
1474,弘裕,未知
1475,業旺,未知
1476,儒鴻,未知
1477,聚陽,未知
1503,士電,未知
1504,東元,未知
1506,正道,未知
1512,瑞利,未知
1513,中興電,未知
1514,亞力,未知
1515,力山,未知
1516,川飛,未知
1517,利奇,未知
1519,華城,未知
1521,大億,未知
1522,堤維西,未知
1522A,堤維西甲特,未知
1524,耿鼎,未知
1525,江申,未知
1526,日馳,未知
1527,鑽全,未知
1528,恩德,未知
1529,樂事綠能,未知
1530,亞崴,未知
1531,高林股,未知
1532,勤美,未知
1533,車王電,未知
1535,中宇,未知
1536,和大,未知
1537,廣隆,未知
1538,正峰,未知
1539,巨庭,未知
1540,喬福,未知
1541,錩泰,未知
1558,伸興,未知
1560,中砂,未知
1563,巧新,未知
1568,倉佑,未知
1582,信錦,未知
1583,程泰,未知
1587,吉茂,未知
1589,永冠-KY,未知
1590,亞德客-KY,未知
1597,直得,未知
1598,岱宇,未知
1603,華電,未知
1604,聲寶,未知
1605,華新,未知
1608,華榮,未知
1609,大亞,未知
1611,中電,未知
1612,宏泰,未知
1614,三洋電,未知
1615,大山,未知
1616,億泰,未知
1617,榮星,未知
1618,合機,未知
1626,艾美特-KY,未知
1702,南僑,未知
1707,葡萄王,未知
1708,東鹼,未知
1709,和益,未知
1710,東聯,未知
1711,永光,未知
1712,興農,未知
1713,國化,未知
1714,和桐,未知
1717,長興,未知
1718,中纖,未知
1720,生達,未知
1721,三晃,未知
1722,台肥,未知
1723,中碳,未知
1725,元禎,未知
1726,永記,未知
1727,中華化,未知
1730,花仙子,未知
1731,美吾華,未知
1732,毛寶,未知
1733,五鼎,未知
1734,杏輝,未知
1735,日勝化,未知
1736,喬山,未知
1737,臺鹽,未知
1752,南光,未知
1760,寶齡富錦,未知
1762,中化生,未知
1773,勝一,未知
1776,展宇,未知
1783,和康生,未知
1786,科妍,未知
1789,神隆,未知
1795,美時,未知
1802,台玻,未知
1805,寶徠,未知
1806,冠軍,未知
1808,潤隆,未知
1809,中釉,未知
1810,和成,未知
1817,凱撒衛,未知
1903,士紙,未知
1904,正隆,未知
1905,華紙,未知
1906,寶隆,未知
1907,永豐餘,未知
1909,榮成,未知
2002,中鋼,未知
2002A,中鋼特,未知
2006,東和鋼鐵,未知
2007,燁興,未知
2008,高興昌,未知
2009,第一銅,未知
2010,春源,未知
2012,春雨,未知
2013,中鋼構,未知
2014,中鴻,未知
2015,豐興,未知
2017,官田鋼,未知
2020,美亞,未知
2022,聚亨,未知
2023,燁輝,未知
2024,志聯,未知
2025,千興,未知
2027,大成鋼,未知
2028,威致,未知
2029,盛餘,未知
2030,彰源,未知
2031,新光鋼,未知
2032,新鋼,未知
2033,佳大,未知
2034,允強,未知
2038,海光,未知
2049,上銀,未知
2059,川湖,未知
2062,橋椿,未知
2069,運錩,未知
2101,南港,未知
2102,泰豐,未知
2103,台橡,未知
2104,國際中橡,未知
2105,正新,未知
2106,建大,未知
2107,厚生,未知
2108,南帝,未知
2109,華豐,未知
2114,鑫永銓,未知
2115,六暉-KY,未知
2201,裕隆,未知
2204,中華,未知
2206,三陽工業,未知
2207,和泰車,未知
2208,台船,未知
2211,長榮鋼,未知
2227,裕日車,未知
2228,劍麟,未知
2231,為升,未知
2233,宇隆,未知
2236,百達-KY,未知
2239,英利-KY,未知
2241,艾姆勒,未知
2243,宏旭-KY,未知
2247,汎德永業,未知
2250,IKKA-KY,未知
2254,巨鎧精密-創,未知
2258,鴻華先進-創,未知
2301,光寶科,未知
2302,麗正,未知
2303,聯電,未知
2305,全友,未知
2308,台達電,未知
2312,金寶,未知
2313,華通,未知
2314,台揚,未知
2316,楠梓電,未知
2317,鴻海,未知
2321,東訊,未知
2323,中環,未知
2324,仁寶,未知
2327,國巨,未知
2328,廣宇,未知
2329,華泰,未知
2330,台積電,未知
2331,精英,未知
2332,友訊,未知
2337,旺宏,未知
2338,光罩,未知
2340,台亞,未知
2342,茂矽,未知
2344,華邦電,未知
2345,智邦,未知
2347,聯強,未知
2348,海悅,未知
2348A,海悅甲特,未知
2349,錸德,未知
2351,順德,未知
2352,佳世達,未知
2353,宏碁,未知
2354,鴻準,未知
2355,敬鵬,未知
2356,英業達,未知
2357,華碩,未知
2359,所羅門,未知
2360,致茂,未知
2362,藍天,未知
2363,矽統,未知
2364,倫飛,未知
2365,昆盈,未知
2367,燿華,未知
2368,金像電,未知
2369,菱生,未知
2371,大同,未知
2373,震旦行,未知
2374,佳能,未知
2375,凱美,未知
2376,技嘉,未知
2377,微星,未知
2379,瑞昱,未知
2380,虹光,未知
2382,廣達,未知
2383,台光電,未知
2385,群光,未知
2387,精元,未知
2388,威盛,未知
2390,云辰,未知
2392,正崴,未知
2393,億光,未知
2395,研華,未知
2397,友通,未知
2399,映泰,未知
2401,凌陽,未知
2402,毅嘉,未知
2404,漢唐,未知
2405,輔信,未知
2406,國碩,未知
2408,南亞科,未知
2409,友達,未知
2412,中華電,未知
2413,環科,未知
2414,精技,未知
2415,錩新,未知
2417,圓剛,未知
2419,仲琦,未知
2420,新巨,未知
2421,建準,未知
2423,固緯,未知
2424,隴華,未知
2425,承啟,未知
2426,鼎元,未知
2427,三商電,未知
2428,興勤,未知
2429,銘旺科,未知
2430,燦坤,未知
2431,聯昌,未知
2432,倚天酷碁-創,未知
2433,互盛電,未知
2434,統懋,未知
2436,偉詮電,未知
2438,翔耀,未知
2439,美律,未知
2440,太空梭,未知
2441,超豐,未知
2442,新美齊,未知
2444,兆勁,未知
2449,京元電子,未知
2450,神腦,未知
2451,創見,未知
2453,凌群,未知
2454,聯發科,未知
2455,全新,未知
2457,飛宏,未知
2458,義隆,未知
2459,敦吉,未知
2460,建通,未知
2461,光群雷,未知
2462,良得電,未知
2464,盟立,未知
2465,麗臺,未知
2466,冠西電,未知
2467,志聖,未知
2468,華經,未知
2471,資通,未知
2472,立隆電,未知
2474,可成,未知
2476,鉅祥,未知
2477,美隆電,未知
2478,大毅,未知
2480,敦陽科,未知
2481,強茂,未知
2482,連宇,未知
2483,百容,未知
2484,希華,未知
2485,兆赫,未知
2486,一詮,未知
2488,漢平,未知
2489,瑞軒,未知
2491,吉祥全,未知
2492,華新科,未知
2493,揚博,未知
2495,普安,未知
2496,卓越,未知
2497,怡利電,未知
2498,宏達電,未知
2501,國建,未知
2504,國產,未知
2505,國揚,未知
2506,太設,未知
2509,全坤建,未知
2511,太子,未知
2514,龍邦,未知
2515,中工,未知
2516,新建,未知
2520,冠德,未知
2524,京城,未知
2527,宏璟,未知
2528,皇普,未知
2530,華建,未知
2534,宏盛,未知
2535,達欣工,未知
2536,宏普,未知
2537,聯上發,未知
2538,基泰,未知
2539,櫻花建,未知
2540,愛山林,未知
2542,興富發,未知
2543,皇昌,未知
2545,皇翔,未知
2546,根基,未知
2547,日勝生,未知
2548,華固,未知
2597,潤弘,未知
2601,益航,未知
2603,長榮,未知
2605,新興,未知
2606,裕民,未知
2607,榮運,未知
2608,嘉里大榮,未知
2609,陽明,未知
2610,華航,未知
2611,志信,未知
2612,中航,未知
2613,中櫃,未知
2614,東森,未知
2615,萬海,未知
2616,山隆,未知
2617,台航,未知
2618,長榮航,未知
2630,亞航,未知
2633,台灣高鐵,未知
2634,漢翔,未知
2636,台驊控股,未知
2637,慧洋-KY,未知
2642,宅配通,未知
2645,長榮航太,未知
2646,星宇航空,未知
2701,萬企,未知
2702,華園,未知
2704,國賓,未知
2705,六福,未知
2706,第一店,未知
2707,晶華,未知
2712,遠雄來,未知
2722,夏都,未知
2723,美食-KY,未知
2727,王品,未知
2731,雄獅,未知
2739,寒舍,未知
2748,雲品,未知
2753,八方雲集,未知
2762,世界健身-KY,未知
2801,彰銀,未知
2809,京城銀,未知
2812,台中銀,未知
2816,旺旺保,未知
2820,華票,未知
2832,台產,未知
2834,臺企銀,未知
2836,高雄銀,未知
2836A,高雄銀甲特,未知
2838,聯邦銀,未知
2838A,聯邦銀甲特,未知
2845,遠東銀,未知
2849,安泰銀,未知
2850,新產,未知
2851,中再保,未知
2852,第一保,未知
2855,統一證,未知
2867,三商壽,未知
2880,華南金,未知
2881,富邦金,未知
2881A,富邦特,未知
2881B,富邦金乙特,未知
2881C,富邦金丙特,未知
2882,國泰金,未知
2882A,國泰特,未知
2882B,國泰金乙特,未知
2883,凱基金,未知
2883B,凱基金乙特,未知
2884,玉山金,未知
2885,元大金,未知
2886,兆豐金,未知
2887,台新金,未知
2887E,台新戊特,未知
2887F,台新戊特二,未知
2887Z1,台新己特,未知
2888,新光金,未知
2888A,新光金甲特,未知
2888B,新光金乙特,未知
2889,國票金,未知
2890,永豐金,未知
2891,中信金,未知
2891B,中信金乙特,未知
2891C,中信金丙特,未知
2892,第一金,未知
2897,王道銀行,未知
2897B,王道銀乙特,未知
2901,欣欣,未知
2903,遠百,未知
2904,匯僑,未知
2905,三商,未知
2906,高林,未知
2908,特力,未知
2910,統領,未知
2911,麗嬰房,未知
2912,統一超,未知
2913,農林,未知
2915,潤泰全,未知
2923,鼎固-KY,未知
2929,淘帝-KY,未知
2939,永邑-KY,未知
2945,三商家購,未知
3002,歐格,未知
3003,健和興,未知
3004,豐達科,未知
3005,神基,未知
3006,晶豪科,未知
3008,大立光,未知
3010,華立,未知
3011,今皓,未知
3013,晟銘電,未知
3014,聯陽,未知
3015,全漢,未知
3016,嘉晶,未知
3017,奇鋐,未知
3018,隆銘綠能,未知
3019,亞光,未知
3021,鴻名,未知
3022,威強電,未知
3023,信邦,未知
3024,憶聲,未知
3025,星通,未知
3026,禾伸堂,未知
3027,盛達,未知
3028,增你強,未知
3029,零壹,未知
3030,德律,未知
3031,佰鴻,未知
3032,偉訓,未知
3033,威健,未知
3034,聯詠,未知
3035,智原,未知
3036,文曄,未知
3036A,文曄甲特,未知
3037,欣興,未知
3038,全台,未知
3040,遠見,未知
3041,揚智,未知
3042,晶技,未知
3043,科風,未知
3044,健鼎,未知
3045,台灣大,未知
3046,建碁,未知
3047,訊舟,未知
3048,益登,未知
3049,精金,未知
3050,鈺德,未知
3051,力特,未知
3052,夆典,未知
3054,立萬利,未知
3055,蔚華科,未知
3056,富華新,未知
3057,喬鼎,未知
3058,立德,未知
3059,華晶科,未知
3060,銘異,未知
3062,建漢,未知
3090,日電貿,未知
3092,鴻碩,未知
3094,聯傑,未知
3130,一零四,未知
3138,耀登,未知
3149,正達,未知
3150,鈺寶-創,未知
3164,景岳,未知
3167,大量,未知
3168,眾福科,未知
3189,景碩,未知
3209,全科,未知
3229,晟鈦,未知
3231,緯創,未知
3257,虹冠電,未知
3266,昇陽,未知
3296,勝德,未知
3305,昇貿,未知
3308,聯德,未知
3311,閎暉,未知
3312,弘憶股,未知
3321,同泰,未知
3338,泰碩,未知
3346,麗清,未知
3356,奇偶,未知
3376,新日興,未知
3380,明泰,未知
3406,玉晶光,未知
3413,京鼎,未知
3416,融程電,未知
3419,譁裕,未知
3432,台端,未知
3437,榮創,未知
3443,創意,未知
3447,展達,未知
3450,聯鈞,未知
3454,晶睿,未知
3481,群創,未知
3494,誠研,未知
3501,維熹,未知
3504,揚明光,未知
3515,華擎,未知
3518,柏騰,未知
3528,安馳,未知
3530,晶相光,未知
3532,台勝科,未知
3533,嘉澤,未知
3535,晶彩科,未知
3543,州巧,未知
3545,敦泰,未知
3550,聯穎,未知
3557,嘉威,未知
3563,牧德,未知
3576,聯合再生,未知
3583,辛耘,未知
3588,通嘉,未知
3591,艾笛森,未知
3592,瑞鼎,未知
3593,力銘,未知
3596,智易,未知
3605,宏致,未知
3607,谷崧,未知
3617,碩天,未知
3622,洋華,未知
3645,達邁,未知
3652,精聯,未知
3653,健策,未知
3661,世芯-KY,未知
3665,貿聯-KY,未知
3669,圓展,未知
3673,TPK-KY,未知
3679,新至陞,未知
3686,達能,未知
3694,海華,未知
3701,大眾控,未知
3702,大聯大,未知
3703,欣陸,未知
3704,合勤控,未知
3705,永信,未知
3706,神達,未知
3708,上緯投控,未知
3711,日月光投控,未知
3712,永崴投控,未知
3714,富采,未知
3715,定穎投控,未知
3716,中化控股,未知
4104,佳醫,未知
4106,雃博,未知
4108,懷特,未知
4119,旭富,未知
4133,亞諾法,未知
4137,麗豐-KY,未知
4142,國光生,未知
4148,全宇生技-KY,未知
4155,訊映,未知
4164,承業醫,未知
4190,佐登-KY,未知
4306,炎洲,未知
4414,如興,未知
4426,利勤,未知
4438,廣越,未知
4439,冠星-KY,未知
4440,宜新實業,未知
4526,東台,未知
4532,瑞智,未知
4536,拓凱,未知
4540,全球傳動,未知
4545,銘鈺,未知
4551,智伸科,未知
4552,力達-KY,未知
4555,氣立,未知
4557,永新-KY,未知
4560,強信-KY,未知
4562,穎漢,未知
4564,元翎,未知
4566,時碩工業,未知
4569,六方科-KY,未知
4571,鈞興-KY,未知
4572,駐龍,未知
4576,大銀微系統,未知
4581,光隆精密-KY,未知
4583,台灣精銳,未知
4588,玖鼎電力,未知
4720,德淵,未知
4722,國精化,未知
